grant_id,project_title,faculty_name,institution,award_amount,start_date,abstract
7202562,Base-Line Plant Growth Studies,Theodore W Tibbitts,University of Wisconsin-Madison,81200.0,04/01/1973,Research project focused on Base-Line Plant Growth Studies at University of Wisconsin-Madison.
7202566,Regulation of Gene Expression During Development,Jeremy Taylor,University of Utah,50100.0,05/01/1973,Research project focused on Regulation of Gene Expression During Development at University of Utah.
7202568,Electron Diffraction of Biological Materials in the HydratedState,Donald F Parsons,"Roswell Park Cancer Institute, Division of Health Research, Inc",62000.0,05/01/1973,"Research project focused on Electron Diffraction of Biological Materials in the HydratedState at Roswell Park Cancer Institute, Division of Health Research, Inc."
7202570,Ribosome Function and Three Dimensional Structure,Unknown Faculty,New York University Medical Center,90000.0,06/01/1973,Research project focused on Ribosome Function and Three Dimensional Structure at New York University Medical Center.
7202571,Morphology and Evolution of the Poison Apparatus of Species In the Family Formicidae (Hymenoptera),Henry R Hermann,University of Georgia,25000.0,06/01/1973,Research project focused on Morphology and Evolution of the Poison Apparatus of Species In the Family Formicidae (Hymenoptera) at University of Georgia.
7202572,Thermodynamics and Geometry of Protein Interactions,Serge N Timasheff,Brandeis University,90000.0,06/01/1973,Research project focused on Thermodynamics and Geometry of Protein Interactions at Brandeis University.
7202573,Cosip-D Research Initiation - Octanol and Alcohol           Dehydrogenase Isozyme Pattern in Drosophila,Unknown Faculty,Coppin State University,54800.0,06/01/1973,Research project focused on Cosip-D Research Initiation - Octanol and Alcohol           Dehydrogenase Isozyme Pattern in Drosophila at Coppin State University.
7202574,Regulation of Carotenoid Biosynthesis By Light in           ?flavobacterium Dehydrogenans?,Owen B Weeks,New Mexico State University,27200.0,06/01/1973,Research project focused on Regulation of Carotenoid Biosynthesis By Light in           ?flavobacterium Dehydrogenans? at New Mexico State University.
7202575,Visual Pattern Perception and Orientation in Insects,Unknown Faculty,University of Kansas Main Campus,26300.0,06/01/1973,Research project focused on Visual Pattern Perception and Orientation in Insects at University of Kansas Main Campus.
7202579,Interaction of Organic Phosphates With Hemoglobin,DATA NOT AVAILABLE,Columbia University,105000.0,07/01/1973,Research project focused on Interaction of Organic Phosphates With Hemoglobin at Columbia University.
7202581,Eye Fixations and Memory For Visual Material,Unknown Faculty,University of Washington,10000.0,07/01/1973,Research project focused on Eye Fixations and Memory For Visual Material at University of Washington.
7202583,Interagency Agreement With U S Army Test&Eval Command to Prov Assist in Checking Out an Infra- Red Line Scanner Instal in One of the Queen Air Aircraft (Cont Nsf-C460),Unknown Faculty,Department of Army Electronic Proving Ground,1410.0,07/01/1971,Research project focused on Interagency Agreement With U S Army Test&Eval Command to Prov Assist in Checking Out an Infra- Red Line Scanner Instal in One of the Queen Air Aircraft (Cont Nsf-C460) at Department of Army Electronic Proving Ground.
7202585,"Services to Personnel and Dependents Resident at Arecibo,   Nsf-C600",Jeremy Taylor,Department of Air Force Ramey Air Force Base,25000.0,10/01/1971,"Research project focused on Services to Personnel and Dependents Resident at Arecibo,   Nsf-C600 at Department of Air Force Ramey Air Force Base."
7202587,Continuation of Advisory Services to the Federal Government On Materials Research and Development,Unknown Faculty,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,10000.0,07/01/1971,Research project focused on Continuation of Advisory Services to the Federal Government On Materials Research and Development at NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY.
7202588,Logistic Support to Arctic Field Programs,Ronald K McGregor,Naval Weapons Center Office of Naval Research,550300.0,11/01/1971,Research project focused on Logistic Support to Arctic Field Programs at Naval Weapons Center Office of Naval Research.
7202590,Employment of Scientists and Engineers 1950-1970,Unknown Faculty,Department of Labor Bureau of Labor Statistics,35000.0,02/10/1972,Research project focused on Employment of Scientists and Engineers 1950-1970 at Department of Labor Bureau of Labor Statistics.
7202591,"Repairs For T-28 Aircraft N510mh By Naval Air Rework        Facility, Pensacola, Florida",Jeremy Taylor,Department of Navy Air Systems Command,40600.0,01/15/1972,"Research project focused on Repairs For T-28 Aircraft N510mh By Naval Air Rework        Facility, Pensacola, Florida at Department of Navy Air Systems Command."
7202592,Canadian Air Support For Project Aidjex,E. F Roots,Department of Energy Mines and Resources,187750.0,02/01/1972,Research project focused on Canadian Air Support For Project Aidjex at Department of Energy Mines and Resources.
7202593,Rann Communications Program,Unknown Faculty,National Aeronautics and Space Administration,5000.0,04/10/1972,Research project focused on Rann Communications Program at National Aeronautics and Space Administration.
7202594,The North Pacific Experiment (Norpax)- International Decade Of Ocean Exploration and Office of Naval Research Joint     Program,Jeremy Taylor,Naval Weapons Center Office of Naval Research,5500000.0,07/01/1972,Research project focused on The North Pacific Experiment (Norpax)- International Decade Of Ocean Exploration and Office of Naval Research Joint     Program at Naval Weapons Center Office of Naval Research.
7202595,The Impact of Federal Expenditures and Programs on          Scientific and Technical Employment Requirement,Unknown Faculty,Department of Labor Bureau of Labor Statistics,100000.0,07/01/1972,Research project focused on The Impact of Federal Expenditures and Programs on          Scientific and Technical Employment Requirement at Department of Labor Bureau of Labor Statistics.
7202596,Interagency Agreement With the U.S. Army Corps of Engineers For the Land Acquisition Services For the Vla-Nrao-C450     (Ca90),William Bannister,Department of Army Corps of Engineers,240000.0,05/01/1972,Research project focused on Interagency Agreement With the U.S. Army Corps of Engineers For the Land Acquisition Services For the Vla-Nrao-C450     (Ca90) at Department of Army Corps of Engineers.
7202597,The Status of Telecommunications Research in the U.S.,Unknown Faculty,Department of Housing and Urban Development,58400.0,05/15/1972,Research project focused on The Status of Telecommunications Research in the U.S. at Department of Housing and Urban Development.
7202598,Power Plant Siting Forum,Jeremy Taylor,National Academy of Engineering,114500.0,03/29/1971,Research project focused on Power Plant Siting Forum at National Academy of Engineering.
