grant_id,project_title,faculty_name,institution,award_amount,start_date,abstract
5900035,"Contract For Construction and Operation of the Radio        Astronomy Observatory at Green Bank, Pocohontas County",Robert E Hughes,"Associated Universities, Inc.",4000000.0,06/30/1967,"Research project focused on Contract For Construction and Operation of the Radio        Astronomy Observatory at Green Bank, Pocohontas County at Associated Universities, Inc.."
5900036,Contract For Bid on Preparation of Reports on Scientific    Information Activities of Federal Agencies,Jeremy Taylor,Scripta Technica Inc,,06/30/1967,Research project focused on Contract For Bid on Preparation of Reports on Scientific    Information Activities of Federal Agencies at Scripta Technica Inc.
5900037,Task Order For the Pacific  Science Board,Harold J Coolidge,National Academy of Sciences,291000.0,06/30/1967,Research project focused on Task Order For the Pacific  Science Board at National Academy of Sciences.
5900038,Contract For Committee on Educational Policies in Agricul-  Ture,May Beth Givan,National Academy of Sciences,370030.0,06/30/1967,Research project focused on Contract For Committee on Educational Policies in Agricul-  Ture at National Academy of Sciences.
5900039,Task Order For Support of a Committee on          Scientific and Technical Communication (C310-     Task Order 111),C. E Sunderlin,National Academy of Sciences,345000.0,06/30/1967,Research project focused on Task Order For Support of a Committee on          Scientific and Technical Communication (C310-     Task Order 111) at National Academy of Sciences.
5900040,Task Order For Partial Support of the             Committee On Research in the Life Sciences        (C310-Task Order 120),May Beth Givan,National Academy of Sciences,78000.0,02/15/1961,Research project focused on Task Order For Partial Support of the             Committee On Research in the Life Sciences        (C310-Task Order 120) at National Academy of Sciences.
5900041,General Support of a Council on Biological        Sciences INformation,Russell B Stevens,National Academy of Sciences,50000.0,06/30/1967,Research project focused on General Support of a Council on Biological        Sciences INformation at National Academy of Sciences.
5900042,Task Order For a Study and Report on              Earthquake Engineering Research (C310-            Task Order 128),May Beth Givan,National Academy of Sciences,76000.0,06/30/1967,Research project focused on Task Order For a Study and Report on              Earthquake Engineering Research (C310-            Task Order 128) at National Academy of Sciences.
5900046,Contract For Computer-Aided Research in           Machine TrAnslation (C372),May Beth Givan,Unknown Institution,240000.0,06/30/1967,Research project focused on Contract For Computer-Aided Research in           Machine TrAnslation (C372) at Unknown Institution.
5900047,Contract For Operation and Maintenance of the     Physics AnD Astronomy Section of the National     Register of ScientifIc and Technical Personnel    (C380),May Beth Givan,American Institute of Physics,246813.0,06/30/1967,Research project focused on Contract For Operation and Maintenance of the     Physics AnD Astronomy Section of the National     Register of ScientifIc and Technical Personnel    (C380) at American Institute of Physics.
5900048,Contract For the Operation and Maintenance of     the MeteorOlogy Section of the National           Register of ScientifIc and Technical              Personnel (C385),Kenneth C Spengler,American Meteorological Society,87163.0,06/30/1967,Research project focused on Contract For the Operation and Maintenance of     the MeteorOlogy Section of the National           Register of ScientifIc and Technical              Personnel (C385) at American Meteorological Society.
5900049,Contract For-The Operation and Maintenance        of the CheMical Sciences Section of the           National Register Of Scientific and Technical     Personnel (C387),Judy A Stamps,American Chemical Society (ACS),299114.0,06/30/1967,Research project focused on Contract For-The Operation and Maintenance        of the CheMical Sciences Section of the           National Register Of Scientific and Technical     Personnel (C387) at American Chemical Society (ACS).
5900050,Contract For the Operation and Maintenance of the Psycho-   Logical Science Section of the National Register of Scien - Tific and Technical Personnel,May Beth Givan,American Psychological Assoc,141542.0,06/30/1967,Research project focused on Contract For the Operation and Maintenance of the Psycho-   Logical Science Section of the National Register of Scien - Tific and Technical Personnel at American Psychological Assoc.
5900051,Contract For-The Operation and Maintenance of     the MathemAtical and Statistical Sciences         Section of the NatioNal Register of Scientific    and Technical Personnel (C392),Gordon L Walker,American Mathematical Society,240824.0,06/30/1967,Research project focused on Contract For-The Operation and Maintenance of     the MathemAtical and Statistical Sciences         Section of the NatioNal Register of Scientific    and Technical Personnel (C392) at American Mathematical Society.
5900052,Contract For the Operation and Maintenance of the Engineers Section of the National Register of Scientific and TechnicalPersonnel,Unknown Faculty,American Association of Engineering Societies Inc,399660.0,06/30/1967,Research project focused on Contract For the Operation and Maintenance of the Engineers Section of the National Register of Scientific and TechnicalPersonnel at American Association of Engineering Societies Inc.
5900053,Contract For Operation of the Science             InformatioN Exchange (C437),John F Ripken,Smithsonian Institution,3062356.0,06/30/1967,Research project focused on Contract For Operation of the Science             InformatioN Exchange (C437) at Smithsonian Institution.
5900054,"Contract For the Operation and Maintenance of the Research  Vessel Anton Bruun, and For Administrative Support of an    Oceanographic Research Program",Jeremy Taylor,Alpine Geophysical Associates,,06/30/1967,"Research project focused on Contract For the Operation and Maintenance of the Research  Vessel Anton Bruun, and For Administrative Support of an    Oceanographic Research Program at Alpine Geophysical Associates."
5900055,Contract For the Furnishing of Services in Support of       Scientific Programs Conducted Aboard the Usns Eltanin,Walter Smolen,Alpine Geophysical Associates,895282.0,06/30/1967,Research project focused on Contract For the Furnishing of Services in Support of       Scientific Programs Conducted Aboard the Usns Eltanin at Alpine Geophysical Associates.
5900057,"Contract For Establishment, Operation and         MaintenancE of the Anthropology Section of the    National Register Of Scientific and Technical     Personnel (C459)",Edward J Lehman,American Anthropological Assoc,42933.0,06/30/1967,"Research project focused on Contract For Establishment, Operation and         MaintenancE of the Anthropology Section of the    National Register Of Scientific and Technical     Personnel (C459) at American Anthropological Assoc."
5900058,"Contract For Management, Operation and Maintenance of       National Center For Atmospheric Research, Boulder, Colorado",Walter O Roberts,National Center For Atmospheric Research,18195112.0,06/30/1967,"Research project focused on Contract For Management, Operation and Maintenance of       National Center For Atmospheric Research, Boulder, Colorado at National Center For Atmospheric Research."
5900059,Contract For Computer-Based Research on           Linguistic Universals (C516),May Beth Givan,Unknown Institution,133146.0,06/30/1967,Research project focused on Contract For Computer-Based Research on           Linguistic Universals (C516) at Unknown Institution.
5900060,Contract For Research and Development Related to the        National Chemical Information Program,Roy A Tassava,ACS Chemical Abstracts,808700.0,06/30/1967,Research project focused on Contract For Research and Development Related to the        National Chemical Information Program at ACS Chemical Abstracts.
5900061,Contract For the Operation and Maintenance of     the PolitiCal Science Section of the National     Register of ScientifIc and Technical Personnel    (C523),Evron M Kirkpatrick,American Political Science Association,61155.0,06/30/1967,Research project focused on Contract For the Operation and Maintenance of     the PolitiCal Science Section of the National     Register of ScientifIc and Technical Personnel    (C523) at American Political Science Association.
5900062,Contract For Development of a Method of           Describing Operational Discipline-Oriented        Science Information Systems (C526),May Beth Givan,Information Management Inc,78734.0,06/30/1967,Research project focused on Contract For Development of a Method of           Describing Operational Discipline-Oriented        Science Information Systems (C526) at Information Management Inc.
5900064,Development of a Course in Physical Science       For NonsciEnce Majors (Ge8573),Jeremy Taylor,Rensselaer Polytechnic Institute,,04/15/1965,Research project focused on Development of a Course in Physical Science       For NonsciEnce Majors (Ge8573) at Rensselaer Polytechnic Institute.
5900067,"Survey of Recent East European Literature         in ElementAry, Secondary, and College             Mathematics (G8847-AMend. No. 1)",Jeremy Taylor,University of Chicago,,05/15/1969,"Research project focused on Survey of Recent East European Literature         in ElementAry, Secondary, and College             Mathematics (G8847-AMend. No. 1) at University of Chicago."
5900070,Continuation of School Mathematics Study Group,Jeremy Taylor,Stanford University,,06/30/1961,Research project focused on Continuation of School Mathematics Study Group at Stanford University.
6000001,Chemical Education Material Study (G12226),Bart E Holm,University of California-Berkeley,125000.0,04/15/1960,Research project focused on Chemical Education Material Study (G12226) at University of California-Berkeley.
6100002,"Translation and Publication of the 1961 Issues of the       Russian Journal, @geochemistry@ (G19808)",Jeremy Taylor,The Geochemical Society,28000.0,12/15/1961,"Research project focused on Translation and Publication of the 1961 Issues of the       Russian Journal, @geochemistry@ (G19808) at The Geochemical Society."
6100003,Advanced Science Seminar in Soil Clay Mineralogy (G21042),Charles I Rich,Virginia Polytechnic Institute and State University,40160.0,12/15/1961,Research project focused on Advanced Science Seminar in Soil Clay Mineralogy (G21042) at Virginia Polytechnic Institute and State University.
6100004,Development of Science Teaching Materials For the ElementaryAnd Junion High School Grades (G22286),Jeremy Taylor,American Association for the Advancement of Science,,02/15/1962,Research project focused on Development of Science Teaching Materials For the ElementaryAnd Junion High School Grades (G22286) at American Association for the Advancement of Science.
6100005,A Project For the Development of the Educational Potential  Of Anthropology in the High Schools (G22323),Jeremy Taylor,American Anthropological Assoc,1334824.0,02/15/1962,Research project focused on A Project For the Development of the Educational Potential  Of Anthropology in the High Schools (G22323) at American Anthropological Assoc.
6100006,A Reference Source For Demonstration Experiments  in Physics,May Beth Givan,Rensselaer Polytechnic Institute,169800.0,06/09/1961,Research project focused on A Reference Source For Demonstration Experiments  in Physics at Rensselaer Polytechnic Institute.
6100100,"Creation, Evaluation and Dissemination of Teaching          Materials and Learning Formats in College Physics",Unknown Faculty,Massachusetts Institute of Technology,198000.0,03/15/1961,"Research project focused on Creation, Evaluation and Dissemination of Teaching          Materials and Learning Formats in College Physics at Massachusetts Institute of Technology."
6200002,Curriculum Resources For Earth Science Teaching in SecondarySchools (Ge1426),Jeremy Taylor,National Academy of Sciences,,02/15/1963,Research project focused on Curriculum Resources For Earth Science Teaching in SecondarySchools (Ge1426) at National Academy of Sciences.
6200003,Publication of All Remaining Volumes in the @insects of     Hawaii@ Series (Gn36),Jeremy Taylor,University of Hawaii,23875.0,09/24/1962,Research project focused on Publication of All Remaining Volumes in the @insects of     Hawaii@ Series (Gn36) at University of Hawaii.
6200005,Publication of a Series of Antarctic Monographs (Gn55),Jeremy Taylor,American Geophysical Union,,10/15/1962,Research project focused on Publication of a Series of Antarctic Monographs (Gn55) at American Geophysical Union.
6200009,Development of a New Course in Mathematics For Prospective  Elementary School Teachers (G20662),Jeremy Taylor,"University of Maryland, College Park",,12/15/1961,"Research project focused on Development of a New Course in Mathematics For Prospective  Elementary School Teachers (G20662) at University of Maryland, College Park."
6200010,"Publication Support For a Monograph, the Hepaticae and      Anthocerotae of Eastern North America (G21066)",Jeremy Taylor,New York Botanical Garden,,12/15/1961,"Research project focused on Publication Support For a Monograph, the Hepaticae and      Anthocerotae of Eastern North America (G21066) at New York Botanical Garden."
6200011,Expanded Marine Biological Studies of the Sorgasso Sea      (G22925),Jeremy Taylor,"Bermuda Institute of Ocean Sciences (BIOS), Inc.",,06/15/1962,"Research project focused on Expanded Marine Biological Studies of the Sorgasso Sea      (G22925) at Bermuda Institute of Ocean Sciences (BIOS), Inc.."
6200012,University of Illinois Committee on School Mathematics      (G23554),Jeremy Taylor,University of Illinois at Urbana-Champaign,,05/15/1962,Research project focused on University of Illinois Committee on School Mathematics      (G23554) at University of Illinois at Urbana-Champaign.
6200015,The Production of a Sound-Color Film on Predator-Prey       Relationships (G25207),Unknown Faculty,University of California-Berkeley,6600.0,06/15/1962,Research project focused on The Production of a Sound-Color Film on Predator-Prey       Relationships (G25207) at University of California-Berkeley.
6200018,The Production of a Series of Short  Teaching-Aid Films in  Physics,Jeremy Taylor,Kenyon College,,10/11/1961,Research project focused on The Production of a Series of Short  Teaching-Aid Films in  Physics at Kenyon College.
6200019,Committee on the Undergraduate Program in Mathematics,Jeremy Taylor,Mathematical Association of America,,05/03/1962,Research project focused on Committee on the Undergraduate Program in Mathematics at Mathematical Association of America.
6200020,Publication of a Series of Antarctic Monographs,"A. F. Spilhaus, Jr.",American Geophysical Union,105800.0,10/15/1962,Research project focused on Publication of a Series of Antarctic Monographs at American Geophysical Union.
6200102,"Editorial Preparation For the Publication ""The Bird Life of Texas""",Jeremy Taylor,University of Texas at Austin,35736.0,11/14/1962,"Research project focused on Editorial Preparation For the Publication ""The Bird Life of Texas"" at University of Texas at Austin."
6200250,Experimental Nuclear Physics,Jeremy Taylor,University of Wisconsin-Madison,90000.0,06/15/1962,Research project focused on Experimental Nuclear Physics at University of Wisconsin-Madison.
6200251,Preparation of Educational Motion Pictures in the Plant      Sciences,Jeremy Taylor,Iowa State University,,04/07/1962,Research project focused on Preparation of Educational Motion Pictures in the Plant      Sciences at Iowa State University.
6300003,Contract  For the Preparation of an Antarctic Map Folio     Series,Charles A Hitchock,American Geographical Society,653685.0,06/30/1967,Research project focused on Contract  For the Preparation of an Antarctic Map Folio     Series at American Geographical Society.
6300004,Astrometric Research in the Southern Hemesphere,John R Sievers,National Research Council,341900.0,05/21/1963,Research project focused on Astrometric Research in the Southern Hemesphere at National Research Council.
6300005,Support of the Committee on Atmospheric Sciences            (C310 - T.O. 9),John R Sievers,National Research Council,2305250.0,05/21/1963,Research project focused on Support of the Committee on Atmospheric Sciences            (C310 - T.O. 9) at National Research Council.
6300006,"Contract For Support of the Nas-Nrc Committee on Line       Spectra of the Elements (Transferred From G17558 to C310,   T.O. 15)",Unknown Faculty,National Academy of Sciences,21500.0,06/30/1967,"Research project focused on Contract For Support of the Nas-Nrc Committee on Line       Spectra of the Elements (Transferred From G17558 to C310,   T.O. 15) at National Academy of Sciences."
6300007,"Contract For Committee on Radio Frequency Allocations For   Scientific Research (Transferred From G22659 to C310, T.O.  23)",Richard Y Dow,National Academy of Sciences,456505.0,06/30/1967,"Research project focused on Contract For Committee on Radio Frequency Allocations For   Scientific Research (Transferred From G22659 to C310, T.O.  23) at National Academy of Sciences."
6300009,"Contract For Support of Committee on Polar Research         Activities (Transferred From Ga1 to C310, T.O. 36.",Louis Degoes,National Academy of Sciences,2224050.0,06/30/1967,"Research project focused on Contract For Support of Committee on Polar Research         Activities (Transferred From Ga1 to C310, T.O. 36. at National Academy of Sciences."
6300010,"Contract For a Program For the Exchange of Scientists       Between the National Academy of Sci, U S a and the Academy  Of Sci, Ussr",Lawrence C Mitchell,National Academy of Sciences,10004793.0,06/30/1967,"Research project focused on Contract For a Program For the Exchange of Scientists       Between the National Academy of Sci, U S a and the Academy  Of Sci, Ussr at National Academy of Sciences."
6300011,"Contract For International Organizations and Programs       Project (Transferred From Gf42 to C310, T.O. 40)",E. C Rowna,National Academy of Sciences,4012090.0,03/15/1960,"Research project focused on Contract For International Organizations and Programs       Project (Transferred From Gf42 to C310, T.O. 40) at National Academy of Sciences."
6300012,Contract For Office of Documentation,E. C Rowna,National Academy of Sciences,652907.0,06/30/1967,Research project focused on Contract For Office of Documentation at National Academy of Sciences.
6300013,"Contract For Committee on Nuclear Science (Transferred From Gp601 to C310, T.O. 47)",Charles K Reed,National Academy of Sciences,301790.0,06/30/1967,"Research project focused on Contract For Committee on Nuclear Science (Transferred From Gp601 to C310, T.O. 47) at National Academy of Sciences."
6300014,"Contract For Support of the Geophysics Research Board       (Transferred From Gp888 to C310, T. o. 49)",Pembroke J Hart,National Academy of Sciences,2668355.0,06/30/1967,"Research project focused on Contract For Support of the Geophysics Research Board       (Transferred From Gp888 to C310, T. o. 49) at National Academy of Sciences."
6300015,Support of Scientific Committee on Oceanic Research (C310-  Task Order No. 68),Richard C Vetter,National Academy of Sciences,59000.0,06/30/1967,Research project focused on Support of Scientific Committee on Oceanic Research (C310-  Task Order No. 68) at National Academy of Sciences.
6300016,Contract For-Transportation Services Related to Grantee     Travel in the U.S. Antarctic Research Program (C334),Unknown Faculty,American Express Company,831300.0,06/30/1967,Research project focused on Contract For-Transportation Services Related to Grantee     Travel in the U.S. Antarctic Research Program (C334) at American Express Company.
6300018,Films in Mathematics For Elementary School Teachers (Ge2650),Unknown Faculty,National Council of Teachers of Mathematics,276490.0,09/15/1963,Research project focused on Films in Mathematics For Elementary School Teachers (Ge2650) at National Council of Teachers of Mathematics.
6300019,Science Curriculum Improvement Study (Ge2914),Unknown Faculty,University of California-Berkeley,4286235.0,09/15/1963,Research project focused on Science Curriculum Improvement Study (Ge2914) at University of California-Berkeley.
6300020,A Social Science Film Program (Ge3430),Jeremy Taylor,Education Development Center,,11/15/1963,Research project focused on A Social Science Film Program (Ge3430) at Education Development Center.
6300021,Course Content Improvement in Social Sciences For High      School (Ge5186),Jeremy Taylor,American Sociological Assoc,2507640.0,05/15/1964,Research project focused on Course Content Improvement in Social Sciences For High      School (Ge5186) at American Sociological Assoc.
6300022,High School Geography Project (Ge5248),Jeremy Taylor,Association of American Geographers,,04/15/1964,Research project focused on High School Geography Project (Ge5248) at Association of American Geographers.
6300023,Study Into the Dissemination of Scientific and Technical    Information in the U.S.S.R. (Gn124),Unknown Faculty,Massachusetts Institute of Technology,,05/13/1963,Research project focused on Study Into the Dissemination of Scientific and Technical    Information in the U.S.S.R. (Gn124) at Massachusetts Institute of Technology.
6300027,Gall Development and Behavior (Gb762),Unknown Faculty,DATA NOT AVAILABLE,15000.0,03/15/1963,Research project focused on Gall Development and Behavior (Gb762) at DATA NOT AVAILABLE.
6300029,Astrometric Research in the Southern Hemesphere,DATA NOT AVAILABLE,National Research Council,70400.0,05/21/1963,Research project focused on Astrometric Research in the Southern Hemesphere at National Research Council.
6300057,BASIC ORDERING AGREEMENT CONTRACT NSF-C310 WITH THE NATIONALACADEMY OF SCIENCES (C310),Unknown Faculty,Unknown Institution,0.0,05/21/1963,Research project focused on BASIC ORDERING AGREEMENT CONTRACT NSF-C310 WITH THE NATIONALACADEMY OF SCIENCES (C310) at Unknown Institution.
6300058,A Series of Educational Films About the Earth and Sea,DATA NOT AVAILABLE,Columbia University,363400.0,09/01/1962,Research project focused on A Series of Educational Films About the Earth and Sea at Columbia University.
6300062,Contract For Special Studies of Research Needs,Robert E Green,National Academy of Sciences,1736240.0,06/30/1967,Research project focused on Contract For Special Studies of Research Needs at National Academy of Sciences.
6300063,"Contract For Filmstrips in Oceanography           (TransferrEd From G25206 to C310, T.O. 35)",Unknown Faculty,National Academy of Sciences,44120.0,06/30/1967,"Research project focused on Contract For Filmstrips in Oceanography           (TransferrEd From G25206 to C310, T.O. 35) at National Academy of Sciences."
6400006,Support of the Committee on Fire Research (C310 T.O. 86),Nelson T Grisamore,National Academy of Sciences,216800.0,06/30/1967,Research project focused on Support of the Committee on Fire Research (C310 T.O. 86) at National Academy of Sciences.
6400007,Contract For Administrative Services in Support of          International Science Activities Sponsored By the National  Science Foundation (C374),Unknown Faculty,Courtesy Travel Service,1667000.0,06/30/1967,Research project focused on Contract For Administrative Services in Support of          International Science Activities Sponsored By the National  Science Foundation (C374) at Courtesy Travel Service.
6400008,Contract For Conjugate Point Riometer Program,Unknown Faculty,McDonnell Douglas Astronautics Company,596610.0,06/30/1967,Research project focused on Contract For Conjugate Point Riometer Program at McDonnell Douglas Astronautics Company.
6400013,Publication of Three Issues of Memoirs of the New York      Botanical Garden (Gn348),Jeremy Taylor,New York Botanical Garden,13600.0,10/15/1964,Research project focused on Publication of Three Issues of Memoirs of the New York      Botanical Garden (Gn348) at New York Botanical Garden.
6400014,Publication of Volumes I and Ii of the Handbook of Middle   American Indians (Gn355),Frank H Wardlaw,University of Texas at Austin,110500.0,12/15/1964,Research project focused on Publication of Volumes I and Ii of the Handbook of Middle   American Indians (Gn355) at University of Texas at Austin.
6400015,Mossbauer and Other Nuclear Spectra of Transition Metal     Organometallic Derivatives (Gp3954),Jeremy Taylor,Cazenovia College,32600.0,12/15/1964,Research project focused on Mossbauer and Other Nuclear Spectra of Transition Metal     Organometallic Derivatives (Gp3954) at Cazenovia College.
6400021,Commission on College Geography,John F Lounsbury,Association of American Geographers,88496.0,02/23/1965,Research project focused on Commission on College Geography at Association of American Geographers.
6400022,Sequential Mapping of Paleoenvironments of the PennsylvanianPeriod (Gp4297),Jeremy Taylor,University of Illinois at Urbana-Champaign,10000.0,03/15/1965,Research project focused on Sequential Mapping of Paleoenvironments of the PennsylvanianPeriod (Gp4297) at University of Illinois at Urbana-Champaign.
6400028,Doctorate Survey Program (C310-Task Order         No. 82),Dorothy M Gilford,National Academy of Sciences,2719969.0,06/30/1967,Research project focused on Doctorate Survey Program (C310-Task Order         No. 82) at National Academy of Sciences.
6400040,Identification Guide to Antarctic Birds,Jeremy Taylor,Smithsonian Institution,18800.0,09/24/1964,Research project focused on Identification Guide to Antarctic Birds at Smithsonian Institution.
6489397,Proteases of Arthropod Molting Fluid,Unknown Faculty,Boston College,20000.0,12/01/1973,Research project focused on Proteases of Arthropod Molting Fluid at Boston College.
6500004,Langmuir Circulation and Plankton Ecology (Gb4048),Jeremy Taylor,Woods Hole Oceanographic Institution,144000.0,11/15/1965,Research project focused on Langmuir Circulation and Plankton Ecology (Gb4048) at Woods Hole Oceanographic Institution.
6500005,Task Order For Support For the Committee on the Alaskan     Earthquake (C310-Task Order 89),William L Petrie,National Academy of Sciences,570000.0,06/30/1967,Research project focused on Task Order For Support For the Committee on the Alaskan     Earthquake (C310-Task Order 89) at National Academy of Sciences.
6500006,"Contract For the Processing of Information Related to the   Proposal Receipt, Evaluation, and Award Procedures of the   National Science Foundation:s Science Education Programs",Jeremy Taylor,Exotech Systems Inc,8320.0,12/01/1965,"Research project focused on Contract For the Processing of Information Related to the   Proposal Receipt, Evaluation, and Award Procedures of the   National Science Foundation:s Science Education Programs at Exotech Systems Inc."
6500008,"Production of Anthropology of the North, Translations From  Russian Sources, Volumes 6-9 (Gn362)",Jeremy Taylor,Arctic Institute North America,43815.0,12/15/1964,"Research project focused on Production of Anthropology of the North, Translations From  Russian Sources, Volumes 6-9 (Gn362) at Arctic Institute North America."
6500011,American National Standardas Institute - Committee Z39:     Libraries and Documentation,Jerrold Orne,University of North Carolina at Chapel Hill,156600.0,12/15/1965,Research project focused on American National Standardas Institute - Committee Z39:     Libraries and Documentation at University of North Carolina at Chapel Hill.
6500012,"Meteorite Impact Craters at Campo Del Cielo, Argentina      (Gp4521)",Jeremy Taylor,Columbia University,40000.0,05/15/1965,"Research project focused on Meteorite Impact Craters at Campo Del Cielo, Argentina      (Gp4521) at Columbia University."
6500013,Phylogeny of Pentamerinids and Evaluation of the MorphologicTypes As Zonal Markers (Gp5101),Unknown Faculty,Ohio State University Research Foundation -DO NOT USE,14700.0,10/15/1965,Research project focused on Phylogeny of Pentamerinids and Evaluation of the MorphologicTypes As Zonal Markers (Gp5101) at Ohio State University Research Foundation -DO NOT USE.
6500016,Science Development Program For Western Reserve University  (Gu1144),Unknown Faculty,Case Western Reserve University,3500000.0,05/15/1965,Research project focused on Science Development Program For Western Reserve University  (Gu1144) at Case Western Reserve University.
6500019,Institutional Grants For Science (Gu1487),Jeremy Taylor,The University of Texas Rio Grande Valley,10430.0,06/15/1965,Research project focused on Institutional Grants For Science (Gu1487) at The University of Texas Rio Grande Valley.
6500027,Science Development Program For the University of Texas     (Gu1598),Harry H Ransom,University of Texas at Austin,6600000.0,12/20/1966,Research project focused on Science Development Program For the University of Texas     (Gu1598) at University of Texas at Austin.
6500030,Development of a Computer-Oriented Systems Course (Gy947),Hinrich R Martens,SUNY at Buffalo,46340.0,02/15/1966,Research project focused on Development of a Computer-Oriented Systems Course (Gy947) at SUNY at Buffalo.
6500037,National Referral Center For Science and Technology (Gn444),Unknown Faculty,Library of Congress,477000.0,06/15/1965,Research project focused on National Referral Center For Science and Technology (Gn444) at Library of Congress.
6500038,Support of the Committee on Oceanography of the National    Academy of Sciences (Gp3564),Jeremy Taylor,Naval Weapons Center Office of Naval Research,20000.0,10/15/1964,Research project focused on Support of the Committee on Oceanography of the National    Academy of Sciences (Gp3564) at Naval Weapons Center Office of Naval Research.
6500039,"Gravity, Magnetics and Bathymetry of the Seas About the     Solomon and Bismarck Islands (Gp3571)",George P Woollard,University of Hawaii,52700.0,10/15/1964,"Research project focused on Gravity, Magnetics and Bathymetry of the Seas About the     Solomon and Bismarck Islands (Gp3571) at University of Hawaii."
6500049,Task Order For Support of the International Biological      Program,Richard H Oliver,National Academy of Sciences,1518500.0,06/30/1967,Research project focused on Task Order For Support of the International Biological      Program at National Academy of Sciences.
6500053,Science Development Program For the University of Colorado,May Beth Givan,University of Colorado at Boulder,3755000.0,06/30/1965,Research project focused on Science Development Program For the University of Colorado at University of Colorado at Boulder.
6500054,Data Processing of National Science Foundation Science EducaTion Programs,May Beth Givan,Exotech Systems Inc,,01/01/1965,Research project focused on Data Processing of National Science Foundation Science EducaTion Programs at Exotech Systems Inc.
6500055,"Task Order 3 For the Processing of Information Related to ThE Proposal,receipt,evaluation & Award Procedures of Nsf's ScIence Education Programs",Jeremy Taylor,Exotech Systems Inc,35930.0,11/24/1965,"Research project focused on Task Order 3 For the Processing of Information Related to ThE Proposal,receipt,evaluation & Award Procedures of Nsf's ScIence Education Programs at Exotech Systems Inc."
6600004,None,May Beth Givan,Boston College,,01/01/1900,Research project focused on None at Boston College.
6600013,"Experimental Plot For Research in Plant Physiology, Ecology And Biosystematics (Gb5764)",T. W Johnson,Duke University,37150.0,11/15/1966,"Research project focused on Experimental Plot For Research in Plant Physiology, Ecology And Biosystematics (Gb5764) at Duke University."
6600015,Development of Duke University Marine Laboratory,Cazlyn G Bookhout,Duke University,687500.0,04/15/1968,Research project focused on Development of Duke University Marine Laboratory at Duke University.
6600017,Task Order For Site Investigations After Destructive        Earthquakes (C310-Task Order 115),Nelson T Grisamore,National Academy of Sciences,298050.0,06/30/1967,Research project focused on Task Order For Site Investigations After Destructive        Earthquakes (C310-Task Order 115) at National Academy of Sciences.
6600018,Task Order For Partial Support of the U S         National COmmittee For the International Union    of Physiological SciEnces (C310-Task              Order 121),Charles L Dunham,National Academy of Sciences,8000.0,06/30/1967,Research project focused on Task Order For Partial Support of the U S         National COmmittee For the International Union    of Physiological SciEnces (C310-Task              Order 121) at National Academy of Sciences.
6600019,Task Order For Support of U S National Committee For        Crystallography (C310- Task Order 123),Unknown Faculty,National Academy of Sciences,33900.0,06/30/1967,Research project focused on Task Order For Support of U S National Committee For        Crystallography (C310- Task Order 123) at National Academy of Sciences.
6600020,Task Order For Partial Support of the Central Office of     International Committee on Data For Science and Technology  (C310-Task Order 124),William Spindel,National Academy of Sciences,238750.0,06/30/1967,Research project focused on Task Order For Partial Support of the Central Office of     International Committee on Data For Science and Technology  (C310-Task Order 124) at National Academy of Sciences.
6600021,"Contract For the Processing of Information Related to the   Proposal Receipt, Evaluation, and Award Procedures of the   National Science Foundation:s Science Education Programs",Jeremy Taylor,Exotech Systems Inc,5900.0,01/21/1966,"Research project focused on Contract For the Processing of Information Related to the   Proposal Receipt, Evaluation, and Award Procedures of the   National Science Foundation:s Science Education Programs at Exotech Systems Inc."
6600022,Processing of Personal Data Forms Foor the 1966-67 Graduate Traineeship Program,Jeremy Taylor,Exotech Systems Inc,10672.0,07/01/1966,Research project focused on Processing of Personal Data Forms Foor the 1966-67 Graduate Traineeship Program at Exotech Systems Inc.
6600023,"Contract to Maintain an Up-To-Date Revision of the Map of   Antarctica, Scale 1.5,000,000 (C441-Task Order 1)",Unknown Faculty,American Geographical Society,12417.0,06/30/1967,"Research project focused on Contract to Maintain an Up-To-Date Revision of the Map of   Antarctica, Scale 1.5,000,000 (C441-Task Order 1) at American Geographical Society."
6600024,Drilling Sediments in the Pacific and Atlantic Ocean and    Adjacent Seas,M.N.A. Peterson,Indian National Scientific Documentation Ctr,1505312.0,06/30/1972,Research project focused on Drilling Sediments in the Pacific and Atlantic Ocean and    Adjacent Seas at Indian National Scientific Documentation Ctr.
6600025,Drilling Sediments in the Pacific and Atlantic Ocean and    Adjacent Seas,M.N.A. Peterson,University of California-San Diego Scripps Inst of Oceanography,218225738.0,01/16/1967,Research project focused on Drilling Sediments in the Pacific and Atlantic Ocean and    Adjacent Seas at University of California-San Diego Scripps Inst of Oceanography.
6600030,"Publication of @the Prehistory of the Tehuacan Valley,@ (SixVolumes) (Gn509)",Frank H Wardlaw,University of Texas at Austin,58900.0,04/27/1966,"Research project focused on Publication of @the Prehistory of the Tehuacan Valley,@ (SixVolumes) (Gn509) at University of Texas at Austin."
6600032,Preparation and Publication of the @glossary of Geology and Related Sciences@ (Gn531),Jeremy Taylor,American Geological Institute,99000.0,05/15/1966,Research project focused on Preparation and Publication of the @glossary of Geology and Related Sciences@ (Gn531) at American Geological Institute.
